"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at get url [as url] (/app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:26:49)"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at /app/node_modules/@azure/cosmos/dist/commonjs/client/Item/Item.js:77:28"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    at async withDiagnostics (/app/node_modules/@azure/cosmos/dist/commonjs/utils/diagnostics.js:106:26) {"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  diagnostics: CosmosDiagnostics {"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientSideRequestStatistics: {"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestStartTimeUTCInMs: 1760832124839,"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      requestDurationInMs: 0,"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalRequestPayloadLengthInBytes: 0,"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      totalResponsePayloadLengthInBytes: 0,"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      locationEndpointsContacted: [],"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      metadataDiagnostics: [Object],"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      retryDiagnostics: [Object],"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      gatewayStatistics: [],"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","      encryptionDiagnostics: undefined"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    },"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    diagnosticNode: undefined,"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","    clientConfig: undefined"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","  }"
"10/19/2025, 12:02:05.713 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","}"
"10/19/2025, 12:24:17.467 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T00:24:14.913526014Z"",""caller"":""logging/log.go:101"",""msg"":""Tracing is disabled, defaulting to no-op exporter""}"
"10/19/2025, 12:24:17.467 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T00:24:14.926002301Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/19/2025, 12:24:17.467 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T00:24:15.337521218Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/19/2025, 12:24:17.467 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T00:24:15.749106255Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:94"",""msg"":""Metadata endpoint is reachable"",""StatusCode"":200,""RetryInterval"":0.4}"
"10/19/2025, 12:24:17.629 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T00:24:16.65035929Z"",""logger"":""setup"",""caller"":""metadata-init/main.go:87"",""msg"":""Metadata endpoint is unreachable (error: Get \""http://169.254.169.254/metadata/instance?api-version=2021-01-01\"": context deadline exceeded (Client.Timeout exceeded while awaiting headers)). Proceeding.""}"
"10/19/2025, 12:24:29.874 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Server running on port 8080"
"10/19/2025, 12:24:29.874 AM","ariffreactacr.azurecr.io/a-riff-in-react-api:latest",api,"ca-api-a-riff-in-react--0000006","Auth strategy: JWT"
"10/19/2025, 1:08:34.063 AM","mcr.microsoft.com/k8se/metadata-init:1.0.20-m","metadata-check","ca-api-a-riff-in-react--0000006","{""level"":""info"",""ts"":""2025-10-19T01:08:32.8804428Z"",""caller"":""logging/log.go:101"",""msg"":""Tracing is disabled, defaulting to no-op exporter""}"
